,cause,cause_desc
216,D211,"Benign neoplasm of connective and other soft tissue of upper limb, including shoulder"
217,D42,Neoplasm of uncertain behavior of meninges
218,E094,Drug or chemical induced diabetes mellitus with neurological complications
219,E132,Other specified diabetes mellitus with kidney complications
220,F681,Factitious disorder
221,G241,Genetic torsion dystonia
222,G832,Monoplegia of upper limb
223,H1582,Localized anterior staphyloma
224,H3081,Harada's disease
225,H4042,"Glaucoma secondary to eye inflammation, left eye"
226,H6541,Chronic allergic otitis media
227,I15,Secondary hypertension
228,I718,"Aortic aneurysm of unspecified site, ruptured"
229,I8221,Embolism and thrombosis of superior vena cava
230,I8320,Varicose veins of unspecified lower extremity with both ulcer and inflammation
231,J386,Stenosis of larynx
232,L209,"Atopic dermatitis, unspecified"
233,L26,Exfoliative dermatitis
234,L749,"Eccrine sweat disorder, unspecified"
235,L8913,Pressure ulcer of right lower back
236,M1286,"Other specific arthropathies, not elsewhere classified, knee"
237,M2127,"Flexion deformity, ankle and toes"
238,M2415,"Other articular cartilage disorders, hip"
239,M2543,"Effusion, wrist"
240,M514,Schmorl's nodes
241,M6108,"Myositis ossificans traumatica, other site"
242,M6523,"Calcific tendinitis, forearm"
243,M6617,"Rupture of synovium, ankle, foot and toes"
244,M753,Calcific tendinitis of shoulder
245,M83,Adult osteomalacia
246,M8643,"Chronic osteomyelitis with draining sinus, radius and ulna"
247,P14,Birth injury to peripheral nervous system
248,Q78,Other osteochondrodysplasias
249,R76,Other abnormal immunological findings in serum
250,R947,Abnormal results of other endocrine function studies
251,S00471,Other superficial bite of right ear
252,A011,Paratyphoid fever A
253,A088,Other specified intestinal infections
254,A370,Whooping cough due to Bordetella pertussis
255,A563,Chlamydial infection of anus and rectum
256,B60,"Other protozoal diseases, not elsewhere classified"
257,D163,Benign neoplasm of short bones of lower limb
258,D216,"Benign neoplasm of connective and other soft tissue of trunk, unspecified"
259,D446,Neoplasm of uncertain behavior of carotid body
260,E09359,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy without macular edema
261,E0964,Drug or chemical induced diabetes mellitus with hypoglycemia
262,E752,Other sphingolipidosis
263,F1314,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
264,F20,Schizophrenia
265,F88,Other disorders of psychological development
266,G560,Carpal tunnel syndrome
267,H0252,Blepharophimosis
268,H2612,Partially resolved traumatic cataract
269,H40222,"Chronic angle-closure glaucoma, left eye"
270,H4063,"Glaucoma secondary to drugs, bilateral"
271,H4441,Flat anterior chamber hypotony of eye
272,H4469,"Retained (old) intraocular foreign body, magnetic, in other or multiple sites"
273,I252,Old myocardial infarction
274,I492,Junctional premature depolarization
275,I6924,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage
276,I7036,Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene
277,K01,Embedded and impacted teeth
278,K054,Periodontosis
279,K227,Barrett's esophagus
280,K63,Other diseases of intestine
281,L0283,Carbuncle of other sites
282,M0012,"Pneumococcal arthritis, elbow"
283,M0603,"Rheumatoid arthritis without rheumatoid factor, wrist"
284,M0846,"Pauciarticular juvenile rheumatoid arthritis, knee"
285,M2152,Acquired clubhand
286,M2362,Other spontaneous disruption of posterior cruciate ligament of knee
287,M6156,"Other ossification of muscle, lower leg"
288,M84341,"Stress fracture, right hand"
289,M8942,"Other hypertrophic osteoarthropathy, upper arm"
290,N34,Urethritis and urethral syndrome
291,N649,"Disorder of breast, unspecified"
292,O029,"Abnormal product of conception, unspecified"
293,O16,Unspecified maternal hypertension
294,O2919,Other cardiac complications of anesthesia during pregnancy
295,O3110,"Continuing pregnancy after spontaneous abortion of one fetus or more, unspecified trimester"
296,O41101,"Infection of amniotic sac and membranes, unspecified, first trimester"
297,O6014,Preterm labor third trimester with preterm delivery third trimester
298,P026,Newborn affected by other and unspecified conditions of umbilical cord
299,P361,Sepsis of newborn due to other and unspecified streptococci
300,P592,Neonatal jaundice from other and unspecified hepatocellular damage
301,P922,Slow feeding of newborn
302,P925,Neonatal difficulty in feeding at breast
303,R46,Symptoms and signs involving appearance and behavior
304,S0440,"Injury of abducent nerve, unspecified side"
305,S06827,"Injury of left internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness"
306,S1095,Superficial foreign body of unspecified part of neck
307,S12301,Unspecified nondisplaced fracture of fourth cervical vertebra
308,D172,Benign lipomatous neoplasm of skin and subcutaneous tissue of limb
309,D487,Neoplasm of uncertain behavior of other specified sites
310,E110,Type 2 diabetes mellitus with hyperosmolarity
311,E848,Cystic fibrosis with other manifestations
312,F1699,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder"
313,H0102,Squamous blepharitis
314,H1630,Unspecified interstitial keratitis
315,H1841,Arcus senilis
316,H2002,Recurrent acute iridocyclitis
317,H3003,"Focal chorioretinal inflammation, peripheral"
318,H4479,"Retained (old) intraocular foreign body, nonmagnetic, in other or multiple sites"
319,H5222,Regular astigmatism
320,H526,Other disorders of refraction
321,H818X,Other disorders of vestibular function
322,J380,Paralysis of vocal cords and larynx
323,K0843,Partial loss of teeth due to caries
324,K116,Mucocele of salivary gland
325,K714,Toxic liver disease with chronic lobular hepatitis
326,L763,Postprocedural hematoma and seroma of skin and subcutaneous tissue following a procedure
327,M0219,"Postdysenteric arthropathy, multiple sites"
328,M0629,"Rheumatoid bursitis, multiple sites"
329,M1A272,"Drug-induced chronic gout, left ankle and foot"
330,M2554,Pain in joints of hand
331,M6684,"Spontaneous rupture of other tendons, hand"
332,M7681,Anterior tibial syndrome
333,M8908,"Algoneurodystrophy, other site"
334,N768,Other specified inflammation of vagina and vulva
335,O04,Complications following (induced) termination of pregnancy
336,O0951,Supervision of elderly primigravida
337,O3009,"Twin pregnancy, unable to determine number of placenta and number of amniotic sacs"
338,O3662,"Maternal care for excessive fetal growth, second trimester"
339,O692,"Labor and delivery complicated by other cord entanglement, with compression"
340,O9833,Other infections with a predominantly sexual mode of transmission complicating the puerperium
341,P285,Respiratory failure of newborn
342,Q665,Congenital pes planus
343,R40235,"Coma scale, best motor response, localizes pain"
344,R730,Abnormal glucose
345,S0121,Laceration without foreign body of nose
346,B022,Zoster with other nervous system involvement
347,B730,Onchocerciasis with eye disease
348,C30,Malignant neoplasm of nasal cavity and middle ear
349,C4419,"Other specified malignant neoplasm of skin of eyelid, including canthus"
350,D313,Benign neoplasm of choroid
351,D55,Anemia due to enzyme disorders
352,E11359,Type 2 diabetes mellitus with proliferative diabetic retinopathy without macular edema
353,H2126,Iris atrophy (essential) (progressive)
354,H259,Unspecified age-related cataract
355,H4021,Acute angle-closure glaucoma
356,H5932,Postprocedural hemorrhage of eye and adnexa following other procedure
357,H6131,Acquired stenosis of external ear canal secondary to trauma
358,H711,Cholesteatoma of tympanum
359,H910,Ototoxic hearing loss
360,H913,"Deaf nonspeaking, not elsewhere classified"
361,I61,Nontraumatic intracerebral hemorrhage
362,J950,Tracheostomy complications
363,K047,Periapical abscess without sinus
364,M063,Rheumatoid nodule
365,M1A18,"Lead-induced chronic gout, vertebrae"
366,M6006,"Infective myositis, lower leg"
367,M6217,"Other rupture of muscle (nontraumatic), ankle and foot"
368,M8961,"Osteopathy after poliomyelitis, shoulder"
369,O121,Gestational proteinuria
370,O2901,Aspiration pneumonitis due to anesthesia during pregnancy
371,O36113,"Maternal care for Anti-A sensitization, third trimester"
372,O41121,"Chorioamnionitis, first trimester"
373,O41122,"Chorioamnionitis, second trimester"
374,O4311,Circumvallate placenta
375,O9123,Nonpurulent mastitis associated with lactation
376,O9823,Gonorrhea complicating the puerperium
377,Q625,Duplication of ureter
378,Q727,Split foot
379,S0011,Contusion of right eyelid and periocular area
380,S01342,Puncture wound with foreign body of left ear
381,S061X1,Traumatic cerebral edema with loss of consciousness of 30 minutes or less
382,S06349,Traumatic hemorrhage of right cerebrum with loss of consciousness of unspecified duration
383,C069,"Malignant neoplasm of mouth, unspecified"
384,C4A5,Merkel cell carcinoma of trunk
385,C4471,"Basal cell carcinoma of skin of lower limb, including hip"
386,C823,Follicular lymphoma grade IIIa
387,D226,"Melanocytic nevi of upper limb, including shoulder"
388,D5721,Sickle-cell/Hb-C disease with crisis
389,D578,Other sickle-cell disorders
390,D6189,Other specified aplastic anemias and other bone marrow failure syndromes
391,E288,Other ovarian dysfunction
392,E834,Disorders of magnesium metabolism
393,G218,Other secondary parkinsonism
394,G95,Other and unspecified diseases of spinal cord
395,H0589,Other disorders of orbit
396,H201,Chronic iridocyclitis
397,H35313,"Nonexudative age-related macular degeneration, bilateral"
398,H3542,Microcystoid degeneration of retina
399,H501,Exotropia
400,I663,Occlusion and stenosis of cerebellar arteries
401,I9764,Postprocedural seroma of a circulatory system organ  or structure following a circulatory system procedure
402,J17,Pneumonia in diseases classified elsewhere
403,K297,"Gastritis, unspecified"
404,K65,Peritonitis
405,M0021,"Other streptococcal arthritis, shoulder"
406,M0237,"Reiter's disease, ankle and foot"
407,M0896,"Juvenile arthritis, unspecified, knee"
408,M1A251,"Drug-induced chronic gout, right hip"
409,M1008,"Idiopathic gout, vertebrae"
410,M238X,Other internal derangements of knee
411,M652,Calcific tendinitis
412,M6732,"Transient synovitis, elbow"
413,M84362,"Stress fracture, left tibia"
414,M84512,"Pathological fracture in neoplastic disease, left shoulder"
415,M9321,Osteochondritis dissecans of shoulder
416,M998,Other biomechanical lesions
417,N3511,"Postinfective urethral stricture, not elsewhere classified, male"
418,O073,Failed attempted termination of pregnancy with other and unspecified complications
419,O3122,"Continuing pregnancy after intrauterine death of one fetus or more, second trimester"
420,O36819,"Decreased fetal movements, unspecified trimester"
421,P53,Hemorrhagic disease of newborn
422,P9188,Other specified disturbances of cerebral status of newborn
423,Q613,"Polycystic kidney, unspecified"
424,R229,"Localized swelling, mass and lump, unspecified"
425,S0211A,"Type I occipital condyle fracture, right side"
426,S06897,Other specified intracranial injury with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
427,C794,Secondary malignant neoplasm of other and unspecified parts of nervous system
428,D4951,Neoplasm of unspecified behavior of kidney
429,E135,Other specified diabetes mellitus with circulatory complications
430,E712,"Disorder of branched-chain amino-acid metabolism, unspecified"
431,E788,Other disorders of lipoprotein metabolism
432,F73,Profound intellectual disabilities
433,F809,"Developmental disorder of speech and language, unspecified"
434,F818,Other developmental disorders of scholastic skills
435,G50,Disorders of trigeminal nerve
436,H0416,Lacrimal gland dislocation
437,H0526,Pulsating exophthalmos
438,H2131,Exudative cysts of iris or anterior chamber
439,H3311,Cyst of ora serrata
440,I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
441,I825Y,Chronic embolism and thrombosis of unspecified deep veins of proximal lower extremity
442,I8302,Varicose veins of left lower extremity with ulcer
443,K11,Diseases of salivary glands
444,K14,Diseases of tongue
445,K716,"Toxic liver disease with hepatitis, not elsewhere classified"
446,L9742,Non-pressure chronic ulcer of left heel and midfoot
447,M0024,"Other streptococcal arthritis, hand"
448,M0202,"Arthropathy following intestinal bypass, elbow"
449,M1223,"Villonodular synovitis (pigmented), wrist"
450,M6124,"Paralytic calcification and ossification of muscle, hand"
451,M707,Other bursitis of hip
452,M84319,"Stress fracture, unspecified shoulder"
453,M8884,Osteitis deformans of hand
454,M905,Osteonecrosis in diseases classified elsewhere
455,N05,Unspecified nephritic syndrome
456,N32,Other disorders of bladder
457,O3102,"Papyraceous fetus, second trimester"
458,O36011,"Maternal care for anti-D [Rh] antibodies, first trimester"
459,Q00,Anencephaly and similar malformations
460,Q724,Longitudinal reduction defect of femur
461,Q76,Congenital malformations of spine and bony thorax
462,S00241,External constriction of right eyelid and periocular area
463,S01431,Puncture wound without foreign body of right cheek and temporomandibular area
464,S06341,Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less
465,S1011,Abrasion of throat
466,S1015,Superficial foreign body of throat
467,S12120,Other displaced dens fracture
468,A70,Chlamydia psittaci infections
469,C01,Malignant neoplasm of base of tongue
470,D036,"Melanoma in situ of upper limb, including shoulder"
471,D227,"Melanocytic nevi of lower limb, including hip"
472,E41,Nutritional marasmus
473,F819,"Developmental disorder of scholastic skills, unspecified"
474,F90,Attention-deficit hyperactivity disorders
475,F98,Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
476,G048,"Other encephalitis, myelitis and encephalomyelitis"
477,H3305,Total retinal detachment
478,H354,Peripheral retinal degeneration
479,H4040,"Glaucoma secondary to eye inflammation, unspecified eye"
480,H921,Otorrhea
481,I272,Other secondary pulmonary hypertension
482,I6983,Monoplegia of upper limb following other cerebrovascular disease
483,J152,Pneumonia due to staphylococcus
484,K0812,Complete loss of teeth due to periodontal diseases
485,K410,"Bilateral femoral hernia, with obstruction, without gangrene"
486,L9722,Non-pressure chronic ulcer of left calf
487,M0888,"Other juvenile arthritis, other specified site"
488,M1227,"Villonodular synovitis (pigmented), ankle and foot"
489,M2126,"Flexion deformity, knee"
490,M2301,"Cystic meniscus, anterior horn of medial meniscus"
491,M2552,Pain in elbow
492,M2585,"Other specified joint disorders, hip"
493,M269,"Dentofacial anomaly, unspecified"
494,M354,Diffuse (eosinophilic) fasciitis
495,M36,Systemic disorders of connective tissue in diseases classified elsewhere
496,M6004,"Infective myositis, hand and fingers"
497,M6113,"Myositis ossificans progressiva, forearm"
498,M6615,"Rupture of synovium, hip"
499,M6738,"Transient synovitis, other site"
500,M868X,Other osteomyelitis
501,M8883,Osteitis deformans of forearm
502,M8927,"Other disorders of bone development and growth, ankle and foot"
503,N28,"Other disorders of kidney and ureter, not elsewhere classified"
504,O038,Other and unspecified complications following complete or unspecified spontaneous abortion
505,O3111,"Continuing pregnancy after spontaneous abortion of one fetus or more, first trimester"
506,O3452,Maternal care for prolapse of gravid uterus
507,P57,Kernicterus
508,Q05,Spina bifida
509,Q505,Embryonic cyst of broad ligament
510,S01551,Open bite of lip
511,S0501,"Injury of conjunctiva and corneal abrasion without foreign body, right eye"
512,S06317,Contusion and laceration of right cerebrum with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness
513,S070,Crushing injury of face
514,A328,Other forms of listeriosis
515,A521,Symptomatic neurosyphilis
516,A924,Rift Valley fever
517,B53,Other specified malaria
518,D234,Other benign neoplasm of skin of scalp and neck
519,D392,Neoplasm of uncertain behavior of placenta
520,D73,Diseases of spleen
521,E09339,Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema
522,E1036,Type 1 diabetes mellitus with diabetic cataract
523,E274,Other and unspecified adrenocortical insufficiency
524,E31,Polyglandular dysfunction
525,F1923,Other psychoactive substance dependence with withdrawal
526,G12,Spinal muscular atrophy and related syndromes
527,G23,Other degenerative diseases of basal ganglia
528,H0253,Eyelid retraction
529,H2150,Unspecified adhesions of iris
530,H3544,Age-related reticular degeneration of retina
531,H509,Unspecified strabismus
532,I28,Other diseases of pulmonary vessels
533,I5083,High output heart failure
534,I698,Sequelae of other cerebrovascular diseases
535,J108,Influenza due to other identified influenza virus with other manifestations
536,J9581,Postprocedural pneumothorax and air leak
537,K913,Postprocedural intestinal obstruction
538,L129,"Pemphigoid, unspecified"
539,M1A08,"Idiopathic chronic gout, vertebrae"
540,M1A329,"Chronic gout due to renal impairment, unspecified elbow"
541,M1187,"Other specified crystal arthropathies, ankle and foot"
542,M2405,Loose body in hip
543,M8623,"Subacute osteomyelitis, radius and ulna"
544,M8709,"Idiopathic aseptic necrosis of bone, multiple sites"
545,M91,Juvenile osteochondrosis of hip and pelvis
546,M948X,Other specified disorders of cartilage
547,N15,Other renal tubulo-interstitial diseases
548,N23,Unspecified renal colic
549,O140,Mild to moderate pre-eclampsia
550,O418X3,"Other specified disorders of amniotic fluid and membranes, third trimester"
551,O6981,"Labor and delivery complicated by cord around neck, without compression"
552,O9821,Gonorrhea complicating pregnancy
553,O9942,Diseases of the circulatory system complicating childbirth
554,Q528,Other specified congenital malformations of female genitalia
555,R84,Abnormal findings in specimens from respiratory organs and thorax
556,R89,"Abnormal findings in specimens from other organs, systems and tissues"
557,S00421,Blister (nonthermal) of right ear
558,S01501,Unspecified open wound of lip
559,S0411,"Injury of oculomotor nerve, right side"
560,S06384,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 6 hours to 24 hours"
561,S098,Other specified injuries of head
562,A811,Subacute sclerosing panencephalitis
563,C51,Malignant neoplasm of vulva
564,C828,Other types of follicular lymphoma
565,D361,Benign neoplasm of peripheral nerves and autonomic nervous system
566,E761,"Mucopolysaccharidosis, type II"
567,F1125,Opioid dependence with opioid-induced psychotic disorder
568,F1329,"Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
569,F1499,"Cocaine use, unspecified with unspecified cocaine-induced disorder"
570,F510,Insomnia not due to a substance or known physiological condition
571,H0113,Eczematous dermatitis of eyelid
572,H0403,Chronic enlargement of lacrimal gland
573,H0511,Granuloma of orbit
574,H2509,Other age-related incipient cataract
575,H40142,"Capsular glaucoma with pseudoexfoliation of lens, left eye"
576,H5981,Chorioretinal scars after surgery for detachment
577,K09,"Cysts of oral region, not elsewhere classified"
578,K112,Sialoadenitis
579,K224,Dyskinesia of esophagus
580,K56,Paralytic ileus and intestinal obstruction without hernia
581,K803,Calculus of bile duct with cholangitis
582,L208,Other atopic dermatitis
583,M0229,"Postimmunization arthropathy, multiple sites"
584,M0539,Rheumatoid heart disease with rheumatoid arthritis of multiple sites
585,M0821,"Juvenile rheumatoid arthritis with systemic onset, shoulder"
586,M2501,"Hemarthrosis, shoulder"
